"Customer ID","Segment","Cluster","Age","Age_Group","Gender","Location"
1,"Segment 2",2,55,"51-70","Male","Kentucky"
2,"Segment 3",3,19,"18-25","Male","Maine"
3,"Segment 3",3,50,"36-50","Male","Massachusetts"
4,"Segment 3",3,21,"18-25","Male","Rhode Island"
5,"Segment 2",2,45,"36-50","Male","Oregon"
6,"Segment 2",2,46,"36-50","Male","Wyoming"
7,"Segment 4",4,63,"51-70","Male","Montana"
8,"Segment 3",3,27,"26-35","Male","Louisiana"
9,"Segment 3",3,26,"26-35","Male","West Virginia"
10,"Segment 2",2,57,"51-70","Male","Missouri"
11,"Segment 2",2,53,"51-70","Male","Arkansas"
12,"Segment 1",1,30,"26-35","Male","Hawaii"
13,"Segment 4",4,61,"51-70","Male","Delaware"
14,"Segment 2",2,65,"51-70","Male","New Hampshire"
15,"Segment 2",2,64,"51-70","Male","New York"
16,"Segment 4",4,64,"51-70","Male","Rhode Island"
17,"Segment 1",1,25,"18-25","Male","Alabama"
18,"Segment 2",2,53,"51-70","Male","Mississippi"
19,"Segment 1",1,52,"51-70","Male","Montana"
20,"Segment 4",4,66,"51-70","Male","Rhode Island"
21,"Segment 3",3,21,"18-25","Male","Louisiana"
22,"Segment 1",1,31,"26-35","Male","North Carolina"
23,"Segment 2",2,56,"51-70","Male","California"
24,"Segment 1",1,31,"26-35","Male","Oklahoma"
25,"Segment 3",3,18,"18-25","Male","Florida"
26,"Segment 1",1,18,"18-25","Male","Texas"
27,"Segment 2",2,38,"36-50","Male","Nevada"
28,"Segment 1",1,56,"51-70","Male","Kentucky"
29,"Segment 4",4,54,"51-70","Male","North Carolina"
30,"Segment 1",1,31,"26-35","Male","Wyoming"
31,"Segment 2",2,57,"51-70","Male","North Carolina"
32,"Segment 1",1,33,"26-35","Male","West Virginia"
33,"Segment 1",1,36,"36-50","Male","Kansas"
34,"Segment 2",2,54,"51-70","Male","Colorado"
35,"Segment 1",1,36,"36-50","Male","North Dakota"
36,"Segment 2",2,54,"51-70","Male","Massachusetts"
37,"Segment 1",1,35,"26-35","Male","Illinois"
38,"Segment 3",3,35,"26-35","Male","Indiana"
39,"Segment 1",1,29,"26-35","Male","Florida"
40,"Segment 2",2,70,"51-70","Male","Arizona"
41,"Segment 4",4,69,"51-70","Male","Louisiana"
42,"Segment 2",2,67,"51-70","Male","Alaska"
43,"Segment 1",1,20,"18-25","Male","Tennessee"
44,"Segment 3",3,25,"18-25","Male","Ohio"
45,"Segment 1",1,39,"36-50","Male","Kentucky"
46,"Segment 2",2,50,"36-50","Male","Tennessee"
47,"Segment 2",2,57,"51-70","Male","California"
48,"Segment 2",2,55,"51-70","Male","Montana"
49,"Segment 3",3,42,"36-50","Male","Nevada"
50,"Segment 2",2,68,"51-70","Male","New Jersey"
51,"Segment 2",2,49,"36-50","Male","Maryland"
52,"Segment 4",4,59,"51-70","Male","Vermont"
53,"Segment 2",2,42,"36-50","Male","Alaska"
54,"Segment 1",1,29,"26-35","Male","Mississippi"
55,"Segment 4",4,47,"36-50","Male","New Mexico"
56,"Segment 2",2,40,"36-50","Male","South Carolina"
