"Customer ID","Segment","Cluster","Digital_Payment_Pref","Payment Method","Fast_Shipping_Pref","Shipping Type","Prefers_Small","Prefers_Large","Size","Color"
1,"Segment 2",2,1,"Venmo",1,"Express",0,1,"L","Gray"
2,"Segment 3",3,0,"Cash",1,"Express",0,1,"L","Maroon"
3,"Segment 3",3,0,"Credit Card",0,"Free Shipping",1,0,"S","Maroon"
4,"Segment 3",3,1,"PayPal",1,"Next Day Air",0,0,"M","Maroon"
5,"Segment 2",2,1,"PayPal",0,"Free Shipping",0,0,"M","Turquoise"
6,"Segment 2",2,1,"Venmo",0,"Standard",0,0,"M","White"
7,"Segment 4",4,0,"Cash",0,"Free Shipping",0,0,"M","Gray"
8,"Segment 3",3,0,"Credit Card",0,"Free Shipping",0,1,"L","Charcoal"
9,"Segment 3",3,1,"Venmo",1,"Express",0,1,"L","Silver"
10,"Segment 2",2,0,"Cash",0,"2-Day Shipping",0,0,"M","Pink"
11,"Segment 2",2,0,"Bank Transfer",0,"Store Pickup",0,1,"L","Purple"
12,"Segment 1",1,0,"Bank Transfer",0,"Store Pickup",1,0,"S","Olive"
13,"Segment 4",4,1,"Venmo",1,"Express",0,0,"M","Gold"
14,"Segment 2",2,1,"PayPal",1,"Express",0,0,"M","Violet"
15,"Segment 2",2,0,"Debit Card",0,"Free Shipping",0,1,"L","Teal"
16,"Segment 4",4,1,"PayPal",0,"Store Pickup",0,0,"M","Teal"
17,"Segment 1",1,0,"Debit Card",1,"Next Day Air",1,0,"S","Gray"
18,"Segment 2",2,1,"Venmo",0,"2-Day Shipping",0,1,"XL","Lavender"
19,"Segment 1",1,0,"Cash",0,"Free Shipping",1,0,"S","Black"
20,"Segment 4",4,0,"Debit Card",0,"Standard",0,0,"M","Green"
21,"Segment 3",3,0,"Cash",1,"Express",0,0,"M","Black"
22,"Segment 1",1,0,"Debit Card",0,"Store Pickup",0,0,"M","Charcoal"
23,"Segment 2",2,0,"Debit Card",0,"Store Pickup",0,0,"M","Peach"
24,"Segment 1",1,0,"Credit Card",1,"Express",0,1,"XL","White"
25,"Segment 3",3,0,"Debit Card",0,"Store Pickup",0,0,"M","Green"
26,"Segment 1",1,1,"PayPal",1,"Express",0,0,"M","Silver"
27,"Segment 2",2,0,"Credit Card",1,"Next Day Air",0,0,"M","Red"
28,"Segment 1",1,0,"Bank Transfer",1,"Next Day Air",0,1,"L","Cyan"
29,"Segment 4",4,1,"PayPal",0,"Free Shipping",0,0,"M","Gray"
30,"Segment 1",1,0,"Credit Card",0,"Store Pickup",1,0,"S","Black"
31,"Segment 2",2,0,"Credit Card",0,"Standard",0,1,"L","Black"
32,"Segment 1",1,1,"Venmo",0,"Store Pickup",0,1,"L","Brown"
33,"Segment 1",1,1,"Venmo",0,"Free Shipping",0,0,"M","Silver"
34,"Segment 2",2,0,"Cash",0,"Store Pickup",0,1,"L","Green"
35,"Segment 1",1,1,"PayPal",0,"2-Day Shipping",0,1,"L","Violet"
36,"Segment 2",2,0,"Credit Card",0,"2-Day Shipping",0,0,"M","Cyan"
37,"Segment 1",1,1,"PayPal",0,"Free Shipping",0,0,"M","Maroon"
38,"Segment 3",3,1,"PayPal",0,"Store Pickup",1,0,"S","Cyan"
39,"Segment 1",1,1,"Venmo",0,"2-Day Shipping",0,0,"M","Red"
40,"Segment 2",2,0,"Credit Card",1,"Express",1,0,"S","Turquoise"
41,"Segment 4",4,0,"Debit Card",1,"Next Day Air",0,1,"L","Beige"
42,"Segment 2",2,1,"Venmo",0,"Standard",0,0,"M","Orange"
43,"Segment 1",1,1,"PayPal",0,"Free Shipping",0,0,"M","Beige"
44,"Segment 3",3,1,"PayPal",0,"Store Pickup",0,1,"L","Lavender"
45,"Segment 1",1,1,"PayPal",0,"Free Shipping",1,0,"S","Silver"
46,"Segment 2",2,1,"PayPal",0,"2-Day Shipping",0,1,"XL","Indigo"
47,"Segment 2",2,0,"Cash",0,"Store Pickup",0,1,"L","White"
48,"Segment 2",2,0,"Cash",0,"Free Shipping",0,0,"M","Charcoal"
49,"Segment 3",3,0,"Cash",0,"Store Pickup",0,0,"M","Orange"
50,"Segment 2",2,0,"Debit Card",1,"Next Day Air",1,0,"S","Indigo"
51,"Segment 2",2,0,"Debit Card",0,"Store Pickup",0,0,"M","Red"
52,"Segment 4",4,0,"Credit Card",0,"2-Day Shipping",0,1,"XL","Gray"
53,"Segment 2",2,0,"Credit Card",0,"Free Shipping",0,0,"M","Green"
54,"Segment 1",1,0,"Credit Card",1,"Next Day Air",1,0,"S","Peach"
55,"Segment 4",4,0,"Debit Card",1,"Next Day Air",0,0,"M","Brown"
56,"Segment 2",2,0,"Credit Card",0,"2-Day Shipping",0,0,"M","Lavender"
57,"Segment 1",1,0,"Credit Card",0,"Store Pickup",0,1,"XL","Brown"
58,"Segment 1",1,0,"Debit Card",0,"Store Pickup",0,0,"M","White"
59,"Segment 2",2,1,"Venmo",0,"Free Shipping",0,0,"M","Charcoal"
60,"Segment 4",4,0,"Debit Card",0,"Standard",0,1,"L","Yellow"
61,"Segment 2",2,0,"Cash",1,"Express",0,1,"L","Brown"
62,"Segment 4",4,0,"Credit Card",0,"Store Pickup",0,0,"M","Orange"
63,"Segment 1",1,0,"Credit Card",0,"Free Shipping",1,0,"S","Magenta"
