"Customer ID","Segment","Cluster","Purchase_Frequency_Num","Frequency of Purchases","Discount_Sensitivity","Discount Applied","Promo Code Used","Subscription Status","Review Rating"
1,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.1
2,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.1
3,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3.1
4,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3.5
5,"Segment 2",2,1,"Annually",2,1,1,"Yes",2.7
6,"Segment 2",2,52,"Weekly",2,1,1,"Yes",2.9
7,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.2
8,"Segment 3",3,52,"Weekly",2,1,1,"Yes",3.2
9,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.6
10,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",4.8
11,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4.1
12,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.9
13,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.5
14,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.7
15,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.7
16,"Segment 4",4,12,"Monthly",2,1,1,"Yes",2.8
17,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.1
18,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",4.7
19,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.6
20,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3.3
21,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",2.8
22,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.1
23,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.2
24,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.4
25,"Segment 3",3,52,"Weekly",2,1,1,"Yes",2.9
26,"Segment 1",1,1,"Annually",2,1,1,"Yes",3.6
27,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.6
28,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",5
29,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.4
30,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.1
31,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.7
32,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.7
33,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.9
34,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",3.3
35,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.6
36,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4
37,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.6
38,"Segment 3",3,52,"Weekly",2,1,1,"Yes",2.8
39,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",3.7
40,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.2
41,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.6
42,"Segment 2",2,1,"Annually",2,1,1,"Yes",4.5
43,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.1
44,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.7
45,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.6
46,"Segment 2",2,1,"Annually",2,1,1,"Yes",2.9
47,"Segment 2",2,4,"Quarterly",2,1,1,"Yes",2.9
48,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.5
49,"Segment 3",3,12,"Monthly",2,1,1,"Yes",2.7
50,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",4.6
51,"Segment 2",2,NA,"Bi-Weekly",2,1,1,"Yes",3.7
52,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.7
53,"Segment 2",2,52,"Weekly",2,1,1,"Yes",2.6
54,"Segment 1",1,52,"Weekly",2,1,1,"Yes",3.9
55,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",4.2
56,"Segment 2",2,1,"Annually",2,1,1,"Yes",3
57,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.7
58,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.4
59,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.2
60,"Segment 4",4,52,"Weekly",2,1,1,"Yes",4.6
61,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4
62,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.7
63,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",3.8
64,"Segment 3",3,52,"Weekly",2,1,1,"Yes",2.7
65,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.8
66,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.8
67,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.7
68,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.4
69,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.9
70,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.4
71,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.2
72,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.9
73,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",2.9
74,"Segment 3",3,NA,"Bi-Weekly",2,1,1,"Yes",2.7
75,"Segment 1",1,12,"Monthly",2,1,1,"Yes",4.5
76,"Segment 4",4,1,"Annually",2,1,1,"Yes",2.7
77,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.2
78,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.3
79,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",4.7
80,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",2.6
81,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.3
82,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",2.6
83,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4
84,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.1
85,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",4.4
86,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",4.5
87,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",3.7
88,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.7
89,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.5
90,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",3.6
91,"Segment 3",3,12,"Monthly",2,1,1,"Yes",2.9
92,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.6
93,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",4.4
94,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.5
95,"Segment 4",4,52,"Weekly",2,1,1,"Yes",4.6
96,"Segment 4",4,12,"Monthly",2,1,1,"Yes",3.8
97,"Segment 3",3,NA,"Every 3 Months",2,1,1,"Yes",3.6
98,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.8
99,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.6
100,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",3.7
101,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",2.7
102,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.6
103,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.8
104,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",4
105,"Segment 2",2,12,"Monthly",2,1,1,"Yes",4.4
106,"Segment 4",4,1,"Annually",2,1,1,"Yes",3.6
107,"Segment 2",2,12,"Monthly",2,1,1,"Yes",3.7
108,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.1
109,"Segment 4",4,NA,"Bi-Weekly",2,1,1,"Yes",3.4
110,"Segment 4",4,26,"Fortnightly",2,1,1,"Yes",2.6
111,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4
112,"Segment 1",1,1,"Annually",2,1,1,"Yes",5
113,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.3
114,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",3.1
115,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.7
116,"Segment 4",4,NA,"Every 3 Months",2,1,1,"Yes",3.8
117,"Segment 4",4,1,"Annually",2,1,1,"Yes",3.4
118,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4.6
119,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.8
120,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.3
121,"Segment 4",4,1,"Annually",2,1,1,"Yes",4
122,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.2
123,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.8
124,"Segment 4",4,52,"Weekly",2,1,1,"Yes",3.1
125,"Segment 4",4,1,"Annually",2,1,1,"Yes",3.1
126,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.6
127,"Segment 2",2,NA,"Every 3 Months",2,1,1,"Yes",3.9
128,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.8
129,"Segment 1",1,26,"Fortnightly",2,1,1,"Yes",4.7
130,"Segment 1",1,NA,"Bi-Weekly",2,1,1,"Yes",4.2
131,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.7
132,"Segment 1",1,52,"Weekly",2,1,1,"Yes",3.9
133,"Segment 1",1,52,"Weekly",2,1,1,"Yes",4.7
134,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.5
135,"Segment 4",4,12,"Monthly",2,1,1,"Yes",4.9
136,"Segment 4",4,4,"Quarterly",2,1,1,"Yes",4.1
137,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",3.3
138,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.7
139,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.4
140,"Segment 4",4,1,"Annually",2,1,1,"Yes",3.8
141,"Segment 2",2,52,"Weekly",2,1,1,"Yes",3.9
142,"Segment 2",2,52,"Weekly",2,1,1,"Yes",4.9
143,"Segment 3",3,26,"Fortnightly",2,1,1,"Yes",3.1
144,"Segment 3",3,4,"Quarterly",2,1,1,"Yes",2.7
145,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.2
146,"Segment 1",1,4,"Quarterly",2,1,1,"Yes",4.5
147,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",4
148,"Segment 2",2,26,"Fortnightly",2,1,1,"Yes",3.5
149,"Segment 3",3,1,"Annually",2,1,1,"Yes",2.6
150,"Segment 3",3,12,"Monthly",2,1,1,"Yes",3.2
151,"Segment 1",1,NA,"Every 3 Months",2,1,1,"Yes",4.9
152,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.5
153,"Segment 1",1,1,"Annually",2,1,1,"Yes",4.3
154,"Segment 2",2,1,"Annually",2,1,1,"Yes",3.2
