"Customer ID","Segment","Cluster","Shops_Winter","Shops_Spring","Shops_Summer","Shops_Fall","Season"
1,"Segment 2",2,1,0,0,0,"Winter"
2,"Segment 3",3,1,0,0,0,"Winter"
3,"Segment 3",3,0,1,0,0,"Spring"
4,"Segment 3",3,0,1,0,0,"Spring"
5,"Segment 2",2,0,1,0,0,"Spring"
6,"Segment 2",2,0,0,1,0,"Summer"
7,"Segment 4",4,0,0,0,1,"Fall"
8,"Segment 3",3,1,0,0,0,"Winter"
9,"Segment 3",3,0,0,1,0,"Summer"
10,"Segment 2",2,0,1,0,0,"Spring"
11,"Segment 2",2,0,0,0,1,"Fall"
12,"Segment 1",1,1,0,0,0,"Winter"
13,"Segment 4",4,1,0,0,0,"Winter"
14,"Segment 2",2,0,1,0,0,"Spring"
15,"Segment 2",2,1,0,0,0,"Winter"
16,"Segment 4",4,1,0,0,0,"Winter"
17,"Segment 1",1,0,1,0,0,"Spring"
18,"Segment 2",2,1,0,0,0,"Winter"
19,"Segment 1",1,0,0,1,0,"Summer"
20,"Segment 4",4,0,0,1,0,"Summer"
21,"Segment 3",3,1,0,0,0,"Winter"
22,"Segment 1",1,1,0,0,0,"Winter"
23,"Segment 2",2,0,0,1,0,"Summer"
24,"Segment 1",1,1,0,0,0,"Winter"
25,"Segment 3",3,0,0,0,1,"Fall"
26,"Segment 1",1,0,0,1,0,"Summer"
27,"Segment 2",2,0,1,0,0,"Spring"
28,"Segment 1",1,0,0,1,0,"Summer"
29,"Segment 4",4,0,0,0,1,"Fall"
30,"Segment 1",1,0,0,0,1,"Fall"
31,"Segment 2",2,1,0,0,0,"Winter"
32,"Segment 1",1,1,0,0,0,"Winter"
33,"Segment 1",1,0,0,1,0,"Summer"
34,"Segment 2",2,0,0,1,0,"Summer"
35,"Segment 1",1,0,1,0,0,"Spring"
36,"Segment 2",2,0,0,1,0,"Summer"
37,"Segment 1",1,1,0,0,0,"Winter"
38,"Segment 3",3,0,0,1,0,"Summer"
39,"Segment 1",1,1,0,0,0,"Winter"
40,"Segment 2",2,0,0,1,0,"Summer"
41,"Segment 4",4,1,0,0,0,"Winter"
42,"Segment 2",2,0,1,0,0,"Spring"
43,"Segment 1",1,0,1,0,0,"Spring"
44,"Segment 3",3,0,0,0,1,"Fall"
45,"Segment 1",1,0,0,1,0,"Summer"
46,"Segment 2",2,0,0,0,1,"Fall"
47,"Segment 2",2,0,0,1,0,"Summer"
48,"Segment 2",2,1,0,0,0,"Winter"
49,"Segment 3",3,0,0,1,0,"Summer"
50,"Segment 2",2,0,1,0,0,"Spring"
51,"Segment 2",2,0,1,0,0,"Spring"
52,"Segment 4",4,1,0,0,0,"Winter"
53,"Segment 2",2,0,0,1,0,"Summer"
54,"Segment 1",1,1,0,0,0,"Winter"
55,"Segment 4",4,0,0,1,0,"Summer"
56,"Segment 2",2,1,0,0,0,"Winter"
57,"Segment 1",1,0,0,1,0,"Summer"
58,"Segment 1",1,0,0,1,0,"Summer"
59,"Segment 2",2,0,0,1,0,"Summer"
60,"Segment 4",4,0,1,0,0,"Spring"
61,"Segment 2",2,0,0,1,0,"Summer"
62,"Segment 4",4,1,0,0,0,"Winter"
63,"Segment 1",1,0,1,0,0,"Spring"
64,"Segment 3",3,1,0,0,0,"Winter"
65,"Segment 4",4,0,0,0,1,"Fall"
66,"Segment 2",2,0,1,0,0,"Spring"
67,"Segment 1",1,1,0,0,0,"Winter"
68,"Segment 2",2,1,0,0,0,"Winter"
69,"Segment 2",2,0,0,1,0,"Summer"
70,"Segment 1",1,0,0,1,0,"Summer"
71,"Segment 1",1,0,0,0,1,"Fall"
72,"Segment 3",3,0,0,1,0,"Summer"
73,"Segment 3",3,1,0,0,0,"Winter"
74,"Segment 3",3,0,1,0,0,"Spring"
